Date,FilingID,Company,Shares,Value
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Vodafone Group PLC ADR,8223292,204019875
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Intuit, Inc.",4599714,201513470
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Bed Bath & Beyond, Inc.",4125187,179074368
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Citrix Systems, Inc.",2581737,176177733
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Costco Wholesale Corp.,2688672,173392457
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Biogen IDEC, Inc.",3056910,171553789
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Automatic Data Processing, Inc.",4041873,169879922
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Broadcom Corp., Class A",4754426,168259136
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Adobe Systems, Inc.",5983521,156469074
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Altera Corp.,5022885,151490212
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Symantec Corp.,9594484,145548322
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Activision Blizzard, Inc.",12708954,137510882
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Wynn Resorts Ltd.,1565120,135805462
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"CH Robinson Worldwide, Inc.",1905683,133245355
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Intuitive Surgical, Inc.",456982,129664073
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"First Solar, Inc.",870906,128327999
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Marvell Technology Group Ltd.,7210189,126250409
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"CA, Inc.",5760914,121670504
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Staples, Inc.",5700939,119263644
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Millicom International Cellular SA,1224430,117484059
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Fiserv, Inc.",2182601,117467586
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Mattel, Inc.",4782019,112186166
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Expeditors International of Washington, Inc.",2421443,111943310
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Paychex, Inc.",3986163,109579621
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Dell, Inc.",8316389,107780401
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Linear Technology Corp.,3487162,107160488
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Yahoo!, Inc.",7534058,106757602
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Xilinx, Inc.",3991412,106211473
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,SanDisk Corp.,2753696,100922958
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Life Technologies Corp.,2156678,100695296
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"BMC Software, Inc.",2414114,97723335
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Sears Holdings Corp.,1345121,97037029
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Applied Materials, Inc.",8073369,94296950
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Expedia, Inc.",3249475,91667690
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Virgin Media, Inc.",3946596,90850640
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Apollo Group, Inc., Class A",1733370,89008550
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Check Point Software Technologies Ltd.,2384078,88044001
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Autodesk, Inc.",2751846,87976517
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Liberty Media Corp. - Interactive,6375471,87407707
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Fastenal Co.,1638354,87144049
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Infosys Technologies Ltd. ADR,1272582,85657494
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"O'Reilly Automotive, Inc.",1608047,85548100
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Vertex Pharmaceuticals, Inc.",2465879,85245437
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,KLA-Tencor Corp.,2364180,83290061
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Joy Global, Inc.",1177864,82827396
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Sigma-Aldrich Corp.,1354480,81783502
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Cerner Corp.,955114,80220025
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Ross Stores, Inc.",1435449,78404224
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"NII Holdings, Inc.",1902535,78194189
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,NVIDIA Corp.,6552058,76528037
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Stericycle, Inc.",1041708,72377872
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Illumina, Inc.",1418152,69773078
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Mylan, Inc.",3653549,68723257
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Warner Chilcott PLC, Class A",2921456,65557473
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Seagate Technology PLC,5468751,64421887
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Garmin Ltd.,2098124,63678063
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Electronic Arts, Inc.",3870584,63593695
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Maxim Integrated Products, Inc.",3412789,63170724
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Lam Research Corp.,1490536,62378932
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Henry Schein, Inc.",1060572,62128308
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Urban Outfitters, Inc.",1933345,60784367
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"VeriSign, Inc.",1908552,60577440
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Flextronics International Ltd.,9905436,59828833
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Cintas Corp.,2131991,58736352
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Microchip Technology, Inc.",1796819,56509958
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Cephalon, Inc.",851403,53161603
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"DENTSPLY International, Inc.",1593756,50952379
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Hologic, Inc.",3167434,50710618
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"JB Hunt Transport Services, Inc.",1432491,49707438
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"FLIR Systems, Inc.",1923514,49434310
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,QIAGEN NV,2737530,48563782
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"DISH Network Corp., Class A",2512036,48130610
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,"Patterson Cos., Inc.",1382206,39600202
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Foster Wheeler AG,1548506,37876457
2011-01-28,2011-01-28_0001104659-11-003685_a10-18718_1485bpos.htm,Logitech International SA,1996564,34740214
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Apple, Inc.",8460298,3224896392
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,Microsoft Corp.,76466678,1903255615
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,Oracle Corp.,46166300,1326819462
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Google, Inc., Class A",2319869,1193294216
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,Intel Corp.,47926885,1022280457
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Amazon.Com, Inc.",4142339,895697962
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Cisco Systems, Inc.",50194819,777517746
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"QUALCOMM, Inc.",15328029,745402050
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Amgen, Inc.",8433934,463444673
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Comcast Corp., Class A",19069243,398547179
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"eBay, Inc.",11762342,346871466
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,Costco Wholesale Corp.,3995313,328095104
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"DIRECTV, Class A",6741218,284816460
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Gilead Sciences, Inc.",7042147,273235304
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Baidu, Inc. ADR",2474804,264581296
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,Celgene Corp.,4187551,259293158
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"News Corp., Class A",16685658,258127129
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,Starbucks Corp.,6809383,253921892
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,Teva Pharmaceutical Industries Ltd. ADR,6384324,237624539
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Dell, Inc.",16657348,235701474
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Automatic Data Processing, Inc.",4469993,210760170
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,Vodafone Group PLC ADR,8197728,210271723
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Biogen IDEC, Inc.",2213328,206171503
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"priceline.com, Inc.",454198,204143833
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Cognizant Technology Solutions Corp., Class A",2771249,173757312
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Express Scripts, Inc., Class A",4460419,165347732
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Yahoo!, Inc.",11527607,151703308
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Broadcom Corp., Class A",4389780,146135776
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Intuit, Inc.",2774092,131602924
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,Wynn Resorts Ltd.,1140319,131227911
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Bed Bath & Beyond, Inc.",2274764,130366725
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Intuitive Surgical, Inc.",356706,129940862
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Green Mountain Coffee Roasters, Inc.",1397080,129844615
2012-01-30,2012-01-30_0001104659-12-005092_a11-30095_1485bpos.htm,"Applied Materials, Inc.",12023924,124447613
